 Ca (Z = 20) Atomic weight: Ar = 40.08000 g mol-1   Nominal density:   ρ (g cm-3) = 1.5500
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  6.65545E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  1.04991E+06 
    7 edges. Edge energies (keV):

     
      K      4.03810E+00  L I    4.37800E-01  L II   3.50000E-01  L III  3.46400E-01 
      M I    4.37000E-02  M II   2.54000E-02  M III  2.54000E-02 

    Relativistic correction estimate frel (H82,3/5CL) = -5.8720E-02, -3.6000E-02 e atom-1 
    Nuclear Thomson correction fNT = -5.4748E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=20, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
1.067676E+00  1.98007E+01  4.0045E+00  3.9379E+03  3.1346E+00  3.9410E+03  0.000E+00  1.161E+00
1.141345E+00  1.98129E+01  3.6007E+00  3.3122E+03  3.1644E+00  3.3154E+03  0.000E+00  1.086E+00
1.220098E+00  1.98020E+01  3.2354E+00  2.7841E+03  3.1844E+00  2.7873E+03  0.000E+00  1.016E+00
1.304285E+00  1.97743E+01  2.9062E+00  2.3394E+03  3.1948E+00  2.3426E+03  0.000E+00  9.506E-01
1.394281E+00  1.97367E+01  2.6095E+00  1.9649E+03  3.1955E+00  1.9681E+03  0.000E+00  8.892E-01
1.490486E+00  1.96846E+01  2.3292E+00  1.6407E+03  3.1866E+00  1.6439E+03  0.000E+00  8.318E-01
1.593329E+00  1.96197E+01  2.0811E+00  1.3713E+03  3.1683E+00  1.3745E+03  0.000E+00  7.781E-01
1.703269E+00  1.95480E+01  1.8618E+00  1.1476E+03  3.1410E+00  1.1507E+03  0.000E+00  7.279E-01
1.820795E+00  1.94721E+01  1.6627E+00  9.5876E+02  3.1049E+00  9.6186E+02  0.000E+00  6.809E-01
1.946430E+00  1.93889E+01  1.4833E+00  8.0011E+02  3.0606E+00  8.0317E+02  0.000E+00  6.370E-01
2.080733E+00  1.93001E+01  1.3245E+00  6.6834E+02  3.0085E+00  6.7135E+02  0.000E+00  5.959E-01
2.224304E+00  1.92061E+01  1.1839E+00  5.5880E+02  2.9492E+00  5.6175E+02  0.000E+00  5.574E-01
2.377781E+00  1.91059E+01  1.0591E+00  4.6765E+02  2.8832E+00  4.7053E+02  0.000E+00  5.214E-01
2.541848E+00  1.89976E+01  9.4843E-01  3.9175E+02  2.8112E+00  3.9456E+02  0.000E+00  4.878E-01
2.717235E+00  1.88776E+01  8.5013E-01  3.2848E+02  2.7339E+00  3.3121E+02  0.000E+00  4.563E-01
