 Si (Z = 14) Atomic weight: Ar = 28.08550 g mol-1   Nominal density:   ρ (g cm-3) = 2.3200
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  4.66371E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  1.49829E+06 
    6 edges. Edge energies (keV):

     
      K      1.83890E+00  L I    1.48700E-01  L II   9.92000E-02  L III  9.92000E-02 
      M I    1.13572E-02  M II   5.08305E-03 

    Relativistic correction estimate frel (H82,3/5CL) = -2.6197E-02, -1.5600E-02 e atom-1 
    Nuclear Thomson correction fNT = -3.8284E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=14, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
1.067676E+00  1.27932E+01  8.7137E-01  1.2228E+03  2.2713E+00  1.2251E+03  0.000E+00  1.161E+00
1.141345E+00  1.26978E+01  7.7420E-01  1.0163E+03  2.2867E+00  1.0186E+03  0.000E+00  1.086E+00
1.220098E+00  1.25861E+01  6.8851E-01  8.4549E+02  2.2951E+00  8.4779E+02  0.000E+00  1.016E+00
1.304285E+00  1.24527E+01  6.1287E-01  7.0403E+02  2.2966E+00  7.0633E+02  0.000E+00  9.506E-01
1.394281E+00  1.22868E+01  5.4605E-01  5.8678E+02  2.2913E+00  5.8907E+02  0.000E+00  8.892E-01
1.490486E+00  1.20669E+01  4.8696E-01  4.8951E+02  2.2792E+00  4.9179E+02  0.000E+00  8.318E-01
1.593329E+00  1.17442E+01  4.3467E-01  4.0874E+02  2.2607E+00  4.1100E+02  0.000E+00  7.781E-01
1.703269E+00  1.11665E+01  3.8835E-01  3.4161E+02  2.2359E+00  3.4385E+02  0.000E+00  7.279E-01
1.802122E+00  9.77316E+00  3.5330E-01  2.9374E+02  2.2104E+00  2.9595E+02  0.000E+00  6.880E-01
1.820795E+00  8.96867E+00  3.4728E-01  2.8577E+02  2.2052E+00  2.8798E+02  0.000E+00  6.809E-01
1.829705E+00  8.18207E+00  3.4446E-01  2.8207E+02  2.2028E+00  2.8427E+02  0.000E+00  6.776E-01
1.837061E+00  6.28036E+00  3.4216E-01  2.7907E+02  2.2007E+00  2.8127E+02  0.000E+00  6.749E-01
1.848094E+00  8.18045E+00  4.0819E+00  3.3093E+03  2.1976E+00  3.3115E+03  3.035E+03  6.709E-01
1.875678E+00  9.90765E+00  4.0304E+00  3.2195E+03  2.1898E+00  3.2217E+03  2.956E+03  6.610E-01
1.946430E+00  1.13530E+01  3.8896E+00  2.9941E+03  2.1690E+00  2.9963E+03  2.756E+03  6.370E-01
2.080733E+00  1.25086E+01  3.5283E+00  2.5407E+03  2.1275E+00  2.5428E+03  2.342E+03  5.959E-01
2.224304E+00  1.31320E+01  3.1614E+00  2.1295E+03  2.0813E+00  2.1316E+03  1.964E+03  5.574E-01
2.377781E+00  1.35165E+01  2.8224E+00  1.7785E+03  2.0309E+00  1.7805E+03  1.640E+03  5.214E-01
2.541848E+00  1.37720E+01  2.5325E+00  1.4928E+03  1.9765E+00  1.4948E+03  1.377E+03  4.878E-01
2.717235E+00  1.39567E+01  2.2762E+00  1.2551E+03  1.9188E+00  1.2570E+03  1.158E+03  4.563E-01
2.904724E+00  1.40941E+01  2.0459E+00  1.0553E+03  1.8583E+00  1.0572E+03  9.741E+02  4.268E-01
3.105150E+00  1.41991E+01  1.8323E+00  8.8413E+02  1.7954E+00  8.8593E+02  8.170E+02  3.993E-01
