 H (Z = 1) Atomic weight: Ar = 1.008000 g mol-1   Nominal density:   ρ (g cm-3) = 8.9870E-05
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  1.67382E+00 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  4.17463E+07 
    1 edge. K Edge energy (keV) = 1.36000E-02 
    Relativistic correction estimate frel (H82,3/5CL) = -1.0519E-04, 0.0000E+00 e atom-1 
    Nuclear Thomson correction fNT = -5.4423E-04 e atom-1 

O (Z = 8) Atomic weight: Ar = 15.99940 g mol-1   Nominal density:   ρ (g cm-3) = 1.3310E-03
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  2.65676E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  2.63012E+06 
    4 edges. Edge energies (keV):

     
      K      5.32000E-01  L I    2.37000E-02  L II   7.10000E-03  L III  7.10000E-03 

    Relativistic correction estimate frel (H82,3/5CL) = -7.7133E-03, -4.2000E-03 e atom-1 
    Nuclear Thomson correction fNT = -2.1944E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Compound H2O, E = 1 - 100 keV

      E            f2            [mu/rho]           [mu/rho]      
                              Photoelectric     Total
     keV        e atom-1        cm2 g-1         cm2 g-1
1.067676E+00   1.501884E+00   3.285689E+03   3.287174E+03
1.141345E+00   1.338743E+00   2.739829E+03   2.741311E+03
1.220098E+00   1.192807E+00   2.283514E+03   2.284994E+03
1.304285E+00   1.062277E+00   1.902352E+03   1.903830E+03
1.394281E+00   9.456711E-01   1.584261E+03   1.585647E+03
1.490486E+00   8.415989E-01   1.318936E+03   1.320320E+03
1.593329E+00   7.487599E-01   1.097670E+03   1.098964E+03
1.703269E+00   6.659937E-01   9.133576E+02   9.146495E+02
1.820795E+00   5.922499E-01   7.597620E+02   7.610257E+02
1.946430E+00   5.265781E-01   6.319176E+02   6.331355E+02
2.080733E+00   4.681380E-01   5.255248E+02   5.267060E+02
2.224304E+00   4.139994E-01   4.347571E+02   4.358928E+02
2.377781E+00   3.651720E-01   3.587255E+02   3.598248E+02
2.541848E+00   3.221058E-01   2.959908E+02   2.970450E+02
2.717235E+00   2.841204E-01   2.442348E+02   2.452439E+02
2.904724E+00   2.506159E-01   2.015298E+02   2.025029E+02
3.105150E+00   2.199620E-01   1.654688E+02   1.663972E+02
3.319406E+00   1.921487E-01   1.352169E+02   1.361094E+02
3.548445E+00   1.678559E-01   1.104896E+02   1.113376E+02
3.793288E+00   1.466335E-01   9.029217E+01   9.110454E+01
4.055024E+00   1.280915E-01   7.378697E+01   7.455938E+01
4.334821E+00   1.118998E-01   6.029810E+01   6.103418E+01
4.633924E+00   9.775730E-02   4.927575E+01   4.997644E+01
4.953664E+00   8.540105E-02   4.026871E+01   4.093585E+01
5.295467E+00   7.460699E-02   3.290837E+01   3.354289E+01
5.660855E+00   6.517708E-02   2.689364E+01   2.749735E+01
6.051453E+00   5.694032E-02   2.197849E+01   2.255319E+01
6.469004E+00   4.974367E-02   1.796129E+01   1.850878E+01
6.915365E+00   4.345811E-02   1.467861E+01   1.519979E+01
7.392525E+00   3.796664E-02   1.199635E+01   1.249300E+01
7.902609E+00   3.316824E-02   9.803467E+00   1.027736E+01
8.447890E+00   2.897790E-02   8.012130E+00   8.464951E+00
9.030794E+00   2.527862E-02   6.538315E+00   6.971115E+00
9.653919E+00   2.193637E-02   5.307594E+00   5.721777E+00
1.032004E+01   1.899617E-02   4.299448E+00   4.696412E+00
1.103212E+01   1.641199E-02   3.474885E+00   3.855846E+00
1.179334E+01   1.417784E-02   2.808148E+00   3.174232E+00
1.260708E+01   1.224871E-02   2.269306E+00   2.621632E+00
1.347697E+01   1.058161E-02   1.833934E+00   2.173622E+00
1.440688E+01   9.141114E-03   1.482049E+00   1.810037E+00
1.540095E+01   7.896937E-03   1.197664E+00   1.514799E+00
1.646362E+01   6.822171E-03   9.678997E-01   1.275029E+00
1.759961E+01   5.893715E-03   7.822057E-01   1.080069E+00
1.881398E+01   5.091568E-03   6.321356E-01   9.214645E-01
2.011215E+01   4.398628E-03   5.108504E-01   7.922224E-01
2.149988E+01   3.799993E-03   4.128435E-01   6.868198E-01
2.298338E+01   3.282864E-03   3.336388E-01   6.007096E-01
2.456923E+01   2.836140E-03   2.696303E-01   5.302340E-01
2.626450E+01   2.450119E-03   2.179049E-01   4.724268E-01
2.807676E+01   2.108001E-03   1.753718E-01   4.241564E-01
3.001405E+01   1.811086E-03   1.409475E-01   3.842926E-01
3.208502E+01   1.556073E-03   1.132820E-01   3.514367E-01
3.429889E+01   1.336862E-03   9.104296E-02   3.242388E-01
3.666551E+01   1.148653E-03   7.317360E-02   3.015910E-01
3.919543E+01   9.868651E-04   5.881152E-02   2.826252E-01
4.189992E+01   8.478984E-04   4.726750E-02   2.665978E-01
4.479101E+01   7.284927E-04   3.799001E-02   2.529690E-01
4.788159E+01   6.259079E-04   3.053321E-02   2.412429E-01
5.118542E+01   5.377638E-04   2.454006E-02   2.310574E-01
5.471721E+01   4.620303E-04   1.972370E-02   2.221239E-01
5.849270E+01   3.969673E-04   1.585232E-02   2.141928E-01
6.252870E+01   3.410747E-04   1.274118E-02   2.070719E-01
6.684318E+01   2.930426E-04   1.024019E-02   2.005970E-01
7.145536E+01   2.517807E-04   8.230337E-03   1.946516E-01
7.638578E+01   2.163292E-04   6.614997E-03   1.891323E-01
8.165640E+01   1.858078E-04   5.315035E-03   1.839627E-01
8.729069E+01   1.594867E-04   4.267747E-03   1.790884E-01
9.331374E+01   1.368957E-04   3.426773E-03   1.744327E-01
9.975239E+01   1.175049E-04   2.751525E-03   1.699901E-01

