Fe (Z = 26) Atomic weight: Ar = 55.84700 g mol-1   Nominal density:   ρ (g cm-3) = 7.8600
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  9.27362E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  7.53493E+05 
    9 edges. Edge energies (keV):

     
      K      7.11200E+00  L I    8.46100E-01  L II   7.21100E-01  L III  7.08100E-01 
      M I    9.29000E-02  M II   5.40000E-02  M III  5.40000E-02  M IV   3.60000E-03 
      M V    3.60000E-03 

    Relativistic correction estimate frel (H82,3/5CL) = -1.0812E-01, -6.7800E-02 e atom-1 
    Nuclear Thomson correction fNT = -6.6403E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=26, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
1.067676E+00  2.32714E+01  1.0687E+01  7.5419E+03  4.1305E+00  7.5460E+03  0.000E+00  1.161E+00
1.141345E+00  2.40488E+01  9.7229E+00  6.4188E+03  4.1740E+00  6.4230E+03  0.000E+00  1.086E+00
1.220098E+00  2.46633E+01  8.8309E+00  5.4537E+03  4.2047E+00  5.4579E+03  0.000E+00  1.016E+00
1.304285E+00  2.51128E+01  7.9627E+00  4.6001E+03  4.2227E+00  4.6043E+03  0.000E+00  9.506E-01
1.394281E+00  2.54331E+01  7.1798E+00  3.8801E+03  4.2277E+00  3.8843E+03  0.000E+00  8.892E-01
1.490486E+00  2.56643E+01  6.4637E+00  3.2676E+03  4.2200E+00  3.2718E+03  0.000E+00  8.318E-01
1.593329E+00  2.58170E+01  5.8123E+00  2.7487E+03  4.1997E+00  2.7529E+03  0.000E+00  7.781E-01
1.703269E+00  2.59124E+01  5.2261E+00  2.3119E+03  4.1673E+00  2.3161E+03  0.000E+00  7.279E-01
1.820795E+00  2.59647E+01  4.6982E+00  1.9442E+03  4.1231E+00  1.9483E+03  0.000E+00  6.809E-01
1.946430E+00  2.59840E+01  4.2238E+00  1.6351E+03  4.0677E+00  1.6392E+03  0.000E+00  6.370E-01
2.080733E+00  2.59787E+01  3.7984E+00  1.3755E+03  4.0017E+00  1.3795E+03  0.000E+00  5.959E-01
2.224304E+00  2.59575E+01  3.4173E+00  1.1576E+03  3.9259E+00  1.1615E+03  0.000E+00  5.574E-01
2.377781E+00  2.59217E+01  3.0760E+00  9.7476E+02  3.8409E+00  9.7860E+02  0.000E+00  5.214E-01
2.541848E+00  2.58778E+01  2.7704E+00  8.2125E+02  3.7476E+00  8.2500E+02  0.000E+00  4.878E-01
2.717235E+00  2.58293E+01  2.4969E+00  6.9239E+02  3.6468E+00  6.9604E+02  0.000E+00  4.563E-01
2.904724E+00  2.57812E+01  2.2482E+00  5.8320E+02  3.5395E+00  5.8674E+02  0.000E+00  4.268E-01
3.105150E+00  2.57281E+01  2.0033E+00  4.8611E+02  3.4266E+00  4.8954E+02  0.000E+00  3.993E-01
3.319406E+00  2.56539E+01  1.7751E+00  4.0295E+02  3.3088E+00  4.0626E+02  0.000E+00  3.735E-01
3.548445E+00  2.55677E+01  1.5695E+00  3.3327E+02  3.1872E+00  3.3646E+02  0.000E+00  3.494E-01
3.793288E+00  2.54704E+01  1.3870E+00  2.7551E+02  3.0626E+00  2.7857E+02  0.000E+00  3.269E-01
