 Mg (Z = 12) Atomic weight: Ar = 24.30500 g mol-1   Nominal density:   ρ (g cm-3) = 1.7350
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  4.03594E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  1.73134E+06 
    4 edges. Edge energies (keV):

     
      K      1.30500E+00  L I    8.94000E-02  L II   5.14000E-02  L III  5.14000E-02 

    Relativistic correction estimate frel (H82,3/5CL) = -1.8616E-02, -1.0800E-02 e atom-1 
    Nuclear Thomson correction fNT = -3.2502E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=12, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
1.067676E+00  9.86553E+00  4.2897E-01  6.9561E+02  2.0364E+00  6.9765E+02  0.000E+00  1.161E+00
1.141345E+00  9.51607E+00  3.8061E-01  5.7737E+02  2.0469E+00  5.7942E+02  0.000E+00  1.086E+00
1.220098E+00  8.85649E+00  3.3816E-01  4.7985E+02  2.0512E+00  4.8190E+02  0.000E+00  1.016E+00
1.278900E+00  7.57149E+00  3.1133E-01  4.2147E+02  2.0505E+00  4.2352E+02  0.000E+00  9.695E-01
1.298475E+00  5.98525E+00  3.0318E-01  4.0425E+02  2.0496E+00  4.0630E+02  0.000E+00  9.548E-01
1.304285E+00  3.41984E+00  3.0083E-01  3.9932E+02  2.0493E+00  4.0137E+02  0.000E+00  9.506E-01
1.311525E+00  5.92695E+00  3.9592E+00  5.2265E+03  2.0488E+00  5.2285E+03  4.833E+03  9.453E-01
1.331100E+00  7.57432E+00  3.9913E+00  5.1915E+03  2.0475E+00  5.1935E+03  4.814E+03  9.314E-01
1.394281E+00  9.30219E+00  3.9993E+00  4.9661E+03  2.0413E+00  4.9681E+03  4.633E+03  8.892E-01
1.490486E+00  1.04949E+01  3.6712E+00  4.2645E+03  2.0273E+00  4.2665E+03  3.987E+03  8.318E-01
1.593329E+00  1.11690E+01  3.2546E+00  3.5365E+03  2.0077E+00  3.5385E+03  3.305E+03  7.781E-01
1.703269E+00  1.15495E+01  2.8511E+00  2.8981E+03  1.9826E+00  2.9001E+03  2.705E+03  7.279E-01
1.820795E+00  1.17834E+01  2.5397E+00  2.4149E+03  1.9524E+00  2.4169E+03  2.254E+03  6.809E-01
1.946430E+00  1.19494E+01  2.2732E+00  2.0220E+03  1.9174E+00  2.0239E+03  1.889E+03  6.370E-01
2.080733E+00  1.20708E+01  2.0422E+00  1.6993E+03  1.8779E+00  1.7012E+03  1.589E+03  5.959E-01
2.224304E+00  1.21624E+01  1.8378E+00  1.4305E+03  1.8344E+00  1.4323E+03  1.339E+03  5.574E-01
2.377781E+00  1.22323E+01  1.6539E+00  1.2042E+03  1.7873E+00  1.2060E+03  1.128E+03  5.214E-01
2.541848E+00  1.22852E+01  1.4866E+00  1.0126E+03  1.7371E+00  1.0143E+03  9.490E+02  4.878E-01
2.717235E+00  1.23707E+01  1.3291E+00  8.4687E+02  1.6840E+00  8.4855E+02  7.939E+02  4.563E-01
2.904724E+00  1.23918E+01  1.1850E+00  7.0629E+02  1.6287E+00  7.0792E+02  6.622E+02  4.268E-01
3.105150E+00  1.24049E+01  1.0522E+00  5.8670E+02  1.5716E+00  5.8827E+02  5.503E+02  3.993E-01
3.319406E+00  1.24053E+01  9.3089E-01  4.8554E+02  1.5130E+00  4.8705E+02  4.557E+02  3.735E-01
3.548445E+00  1.23973E+01  8.2358E-01  4.0184E+02  1.4534E+00  4.0329E+02  3.773E+02  3.494E-01
3.793288E+00  1.23843E+01  7.2867E-01  3.3258E+02  1.3931E+00  3.3397E+02  3.125E+02  3.269E-01
4.055024E+00  1.23682E+01  6.4473E-01  2.7527E+02  1.3327E+00  2.7660E+02  2.587E+02  3.058E-01
4.334821E+00  1.23501E+01  5.7048E-01  2.2785E+02  1.2724E+00  2.2912E+02  2.143E+02  2.860E-01
4.633924E+00  1.23310E+01  5.0479E-01  1.8860E+02  1.2125E+00  1.8981E+02  1.774E+02  2.676E-01
4.953664E+00  1.23116E+01  4.4669E-01  1.5612E+02  1.1535E+00  1.5727E+02  1.469E+02  2.503E-01
5.295467E+00  1.22924E+01  3.9528E-01  1.2924E+02  1.0954E+00  1.3034E+02  1.217E+02  2.341E-01
5.660855E+00  1.22740E+01  3.4977E-01  1.0697E+02  1.0387E+00  1.0801E+02  1.007E+02  2.190E-01
6.051453E+00  1.22558E+01  3.0719E-01  8.7889E+01  9.8349E-01  8.8872E+01  8.275E+01  2.049E-01
6.469004E+00  1.22374E+01  2.6981E-01  7.2210E+01  9.2997E-01  7.3140E+01  6.797E+01  1.917E-01
6.915365E+00  1.22194E+01  2.3698E-01  5.9330E+01  8.7831E-01  6.0208E+01  5.583E+01  1.793E-01
7.392525E+00  1.22022E+01  2.0815E-01  4.8749E+01  8.2864E-01  4.9578E+01  4.586E+01  1.677E-01
7.902609E+00  1.21860E+01  1.8283E-01  4.0055E+01  7.8105E-01  4.0836E+01  3.767E+01  1.569E-01
8.447890E+00  1.21710E+01  1.6060E-01  3.2913E+01  7.3564E-01  3.3649E+01  3.095E+01  1.468E-01
9.030794E+00  1.21570E+01  1.4079E-01  2.6991E+01  6.9243E-01  2.7683E+01  2.537E+01  1.373E-01
9.653919E+00  1.21436E+01  1.2254E-01  2.1977E+01  6.5148E-01  2.2628E+01  2.066E+01  1.284E-01
1.032004E+01  1.21308E+01  1.0666E-01  1.7894E+01  6.1277E-01  1.8507E+01  1.682E+01  1.201E-01
1.103212E+01  1.21189E+01  9.2844E-02  1.4571E+01  5.7631E-01  1.5147E+01  1.370E+01  1.124E-01
1.179334E+01  1.21078E+01  8.0816E-02  1.1864E+01  5.4206E-01  1.2406E+01  1.115E+01  1.051E-01
1.260708E+01  1.20976E+01  7.0348E-02  9.6609E+00  5.0999E-01  1.0171E+01  9.082E+00  9.834E-02
1.347697E+01  1.20882E+01  6.1236E-02  7.8668E+00  4.8003E-01  8.3468E+00  7.395E+00  9.200E-02
1.440688E+01  1.20796E+01  5.3306E-02  6.4060E+00  4.5211E-01  6.8581E+00  6.022E+00  8.606E-02
1.540095E+01  1.20718E+01  4.6403E-02  5.2165E+00  4.2618E-01  5.6427E+00  4.903E+00  8.050E-02
1.646362E+01  1.20646E+01  4.0394E-02  4.2479E+00  4.0213E-01  4.6500E+00  3.993E+00  7.531E-02
1.759961E+01  1.20581E+01  3.5164E-02  3.4592E+00  3.7988E-01  3.8391E+00  3.251E+00  7.045E-02
1.881398E+01  1.20522E+01  3.0611E-02  2.8170E+00  3.5934E-01  3.1763E+00  2.647E+00  6.590E-02
2.011215E+01  1.20469E+01  2.6648E-02  2.2940E+00  3.4041E-01  2.6344E+00  2.156E+00  6.165E-02
2.149988E+01  1.20421E+01  2.3199E-02  1.8682E+00  3.2300E-01  2.1912E+00  1.755E+00  5.767E-02
2.298338E+01  1.20378E+01  2.0196E-02  1.5214E+00  3.0700E-01  1.8284E+00  1.429E+00  5.395E-02
2.456923E+01  1.20339E+01  1.7582E-02  1.2390E+00  2.9232E-01  1.5313E+00  1.164E+00  5.046E-02
2.626450E+01  1.20304E+01  1.5306E-02  1.0090E+00  2.7886E-01  1.2879E+00  9.477E-01  4.721E-02
2.807676E+01  1.20272E+01  1.3269E-02  8.1823E-01  2.6653E-01  1.0848E+00  7.685E-01  4.416E-02
3.001405E+01  1.20244E+01  1.1454E-02  6.6071E-01  2.5525E-01  9.1596E-01  6.203E-01  4.131E-02
3.208502E+01  1.20218E+01  9.8871E-03  5.3352E-01  2.4491E-01  7.7843E-01  5.008E-01  3.864E-02
3.429889E+01  1.20195E+01  8.5347E-03  4.3082E-01  2.3544E-01  6.6626E-01  4.043E-01  3.615E-02
3.666551E+01  1.20174E+01  7.3674E-03  3.4789E-01  2.2675E-01  5.7464E-01  3.264E-01  3.381E-02
3.919543E+01  1.20155E+01  6.3597E-03  2.8092E-01  2.1878E-01  4.9970E-01  2.635E-01  3.163E-02
4.189992E+01  1.20138E+01  5.4892E-03  2.2682E-01  2.1145E-01  4.3827E-01  2.127E-01  2.959E-02
4.479101E+01  1.20123E+01  4.7372E-03  1.8311E-01  2.0470E-01  3.8781E-01  1.717E-01  2.768E-02
4.788159E+01  1.20109E+01  4.0882E-03  1.4783E-01  1.9845E-01  3.4628E-01  1.386E-01  2.589E-02
